input_path,dxf_path,png_path,geom_json_path,index_success,index_drawing_id,index_file_hash,search_status,search_success,total_matches,duplicate_count,similar_count,final_level,timing_total_ms,error
/app/data/dedupcad_batch/input/J0224071-11捕集器组件v2.dxf,/app/data/dedupcad_batch/input/J0224071-11捕集器组件v2.dxf,/app/data/dedupcad_batch/work/J0224071-11捕集器组件v2.png,/app/data/dedupcad_batch/work/J0224071-11捕集器组件v2.v2.json,,,,completed,True,2,1,1,4,326.00710389669985,
/app/data/dedupcad_batch/input/J0225001-09-04旋转组件v1.dxf,/app/data/dedupcad_batch/input/J0225001-09-04旋转组件v1.dxf,/app/data/dedupcad_batch/work/J0225001-09-04旋转组件v1.png,/app/data/dedupcad_batch/work/J0225001-09-04旋转组件v1.v2.json,,,,completed,True,2,1,1,4,581.5833334927447,
/app/data/dedupcad_batch/input/J0225001-09-04旋转组件v2.dxf,/app/data/dedupcad_batch/input/J0225001-09-04旋转组件v2.dxf,/app/data/dedupcad_batch/work/J0225001-09-04旋转组件v2.png,/app/data/dedupcad_batch/work/J0225001-09-04旋转组件v2.v2.json,,,,completed,True,2,1,1,4,357.98139008693397,
/app/data/dedupcad_batch/input/J0225004-04-04轴头组件v1.dxf,/app/data/dedupcad_batch/input/J0225004-04-04轴头组件v1.dxf,/app/data/dedupcad_batch/work/J0225004-04-04轴头组件v1.png,/app/data/dedupcad_batch/work/J0225004-04-04轴头组件v1.v2.json,,,,completed,True,2,2,0,4,187.9817030276172,
/app/data/dedupcad_batch/input/J0225004-04-04轴头组件v2.dxf,/app/data/dedupcad_batch/input/J0225004-04-04轴头组件v2.dxf,/app/data/dedupcad_batch/work/J0225004-04-04轴头组件v2.png,/app/data/dedupcad_batch/work/J0225004-04-04轴头组件v2.v2.json,,,,completed,True,2,2,0,4,152.72313146851957,
/app/data/dedupcad_batch/input/J0225004-04-05下封板v1.dxf,/app/data/dedupcad_batch/input/J0225004-04-05下封板v1.dxf,/app/data/dedupcad_batch/work/J0225004-04-05下封板v1.png,/app/data/dedupcad_batch/work/J0225004-04-05下封板v1.v2.json,,,,completed,True,2,1,1,4,80.35506028681993,
/app/data/dedupcad_batch/input/J0225004-04-05下封板v2.dxf,/app/data/dedupcad_batch/input/J0225004-04-05下封板v2.dxf,/app/data/dedupcad_batch/work/J0225004-04-05下封板v2.png,/app/data/dedupcad_batch/work/J0225004-04-05下封板v2.v2.json,,,,completed,True,2,1,1,4,76.669204630889,
/app/data/dedupcad_batch/input/J0225004-04搅拌桨组件v1.dxf,/app/data/dedupcad_batch/input/J0225004-04搅拌桨组件v1.dxf,/app/data/dedupcad_batch/work/J0225004-04搅拌桨组件v1.png,/app/data/dedupcad_batch/work/J0225004-04搅拌桨组件v1.v2.json,,,,completed,True,2,2,0,4,272.64198276679963,
/app/data/dedupcad_batch/input/J0225004-04搅拌桨组件v2.dxf,/app/data/dedupcad_batch/input/J0225004-04搅拌桨组件v2.dxf,/app/data/dedupcad_batch/work/J0225004-04搅拌桨组件v2.png,/app/data/dedupcad_batch/work/J0225004-04搅拌桨组件v2.v2.json,,,,completed,True,2,2,0,4,281.71439067227766,
/app/data/dedupcad_batch/input/J0225004-08搅拌轴组件v1.dxf,/app/data/dedupcad_batch/input/J0225004-08搅拌轴组件v1.dxf,/app/data/dedupcad_batch/work/J0225004-08搅拌轴组件v1.png,/app/data/dedupcad_batch/work/J0225004-08搅拌轴组件v1.v2.json,,,,completed,True,2,2,0,4,294.7428306215443,
/app/data/dedupcad_batch/input/J0225004-08搅拌轴组件v2.dxf,/app/data/dedupcad_batch/input/J0225004-08搅拌轴组件v2.dxf,/app/data/dedupcad_batch/work/J0225004-08搅拌轴组件v2.png,/app/data/dedupcad_batch/work/J0225004-08搅拌轴组件v2.v2.json,,,,completed,True,2,2,0,4,294.0193483955227,
/app/data/dedupcad_batch/input/J0225009-04-03阀体v1.dxf,/app/data/dedupcad_batch/input/J0225009-04-03阀体v1.dxf,/app/data/dedupcad_batch/work/J0225009-04-03阀体v1.png,/app/data/dedupcad_batch/work/J0225009-04-03阀体v1.v2.json,,,,completed,True,2,2,0,4,362.77222022181377,
/app/data/dedupcad_batch/input/J0225009-04-03阀体v2.dxf,/app/data/dedupcad_batch/input/J0225009-04-03阀体v2.dxf,/app/data/dedupcad_batch/work/J0225009-04-03阀体v2.png,/app/data/dedupcad_batch/work/J0225009-04-03阀体v2.v2.json,,,,completed,True,2,2,0,4,349.6481618494727,
/app/data/dedupcad_batch/input/J0225034-05罐体部分v1.dxf,/app/data/dedupcad_batch/input/J0225034-05罐体部分v1.dxf,/app/data/dedupcad_batch/work/J0225034-05罐体部分v1.png,/app/data/dedupcad_batch/work/J0225034-05罐体部分v1.v2.json,,,,completed,True,2,1,1,4,997.6232828921638,
/app/data/dedupcad_batch/input/J0225034-05罐体部分v2.dxf,/app/data/dedupcad_batch/input/J0225034-05罐体部分v2.dxf,/app/data/dedupcad_batch/work/J0225034-05罐体部分v2.png,/app/data/dedupcad_batch/work/J0225034-05罐体部分v2.v2.json,,,,completed,True,1,1,0,4,1361.9374853442423,
