file_name,output_path,status,error,relative_path,source_dir
J2825002-06上筒体组件v1.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J2825002-06上筒体组件v1.dxf,ok,,J2825002-06上筒体组件v1.dwg,训练图纸
J2825002-06上筒体组件v2.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J2825002-06上筒体组件v2.dxf,ok,,J2825002-06上筒体组件v2.dwg,训练图纸
J2825002-06上筒体组件v3.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J2825002-06上筒体组件v3.dxf,ok,,J2825002-06上筒体组件v3.dwg,训练图纸
J2825002-09下轴承支架组件v1.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J2825002-09下轴承支架组件v1.dxf,ok,,J2825002-09下轴承支架组件v1.dwg,训练图纸
J2825002-09下轴承支架组件v2.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J2825002-09下轴承支架组件v2.dxf,ok,,J2825002-09下轴承支架组件v2.dwg,训练图纸
J2825003-05下筒体组件v1.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J2825003-05下筒体组件v1.dxf,ok,,J2825003-05下筒体组件v1.dwg,训练图纸
J2825003-05下筒体组件v2.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J2825003-05下筒体组件v2.dxf,ok,,J2825003-05下筒体组件v2.dwg,训练图纸
J2925001-00再沸器v1.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J2925001-00再沸器v1.dxf,ok,,J2925001-00再沸器v1.dwg,训练图纸
J2925001-00再沸器v2.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J2925001-00再沸器v2.dxf,ok,,J2925001-00再沸器v2.dwg,训练图纸
J2925001-00再沸器v3.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J2925001-00再沸器v3.dxf,ok,,J2925001-00再沸器v3.dwg,训练图纸
J2925001-01-01人孔法兰v1.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J2925001-01-01人孔法兰v1.dxf,ok,,J2925001-01-01人孔法兰v1.dwg,训练图纸
J2925001-01-01人孔法兰v2.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J2925001-01-01人孔法兰v2.dxf,ok,,J2925001-01-01人孔法兰v2.dwg,训练图纸
J2925001-01人孔v1.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J2925001-01人孔v1.dxf,ok,,J2925001-01人孔v1.dwg,训练图纸
J2925001-01人孔v2.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J2925001-01人孔v2.dxf,ok,,J2925001-01人孔v2.dwg,训练图纸
J2925001-05管束v1.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J2925001-05管束v1.dxf,ok,,J2925001-05管束v1.dwg,训练图纸
J2925001-05管束v2.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J2925001-05管束v2.dxf,ok,,J2925001-05管束v2.dwg,训练图纸
J2925004-04-01底板v1.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J2925004-04-01底板v1.dxf,ok,,J2925004-04-01底板v1.dwg,训练图纸
J2925004-04-01底板v2.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J2925004-04-01底板v2.dxf,ok,,J2925004-04-01底板v2.dwg,训练图纸
J3025001-12轴承座v1.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J3025001-12轴承座v1.dxf,ok,,J3025001-12轴承座v1.dwg,训练图纸
J3025001-12轴承座v2.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/J3025001-12轴承座v2.dxf,ok,,J3025001-12轴承座v2.dwg,训练图纸
LTJ012303106-0001超声波法兰.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/LTJ012303106-0001超声波法兰.dxf,ok,,LTJ012303106-0001超声波法兰.dwg,训练图纸
LTJ012303106-0001超声波法兰v1.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/LTJ012303106-0001超声波法兰v1.dxf,ok,,LTJ012303106-0001超声波法兰v1.dwg,训练图纸
LTJ012303106-0001超声波法兰v2.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/LTJ012303106-0001超声波法兰v2.dxf,ok,,LTJ012303106-0001超声波法兰v2.dwg,训练图纸
LTJ012303106-0030连接法兰(大)v1.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/LTJ012303106-0030连接法兰(大)v1.dxf,ok,,LTJ012303106-0030连接法兰(大)v1.dwg,训练图纸
LTJ012303106-0030连接法兰(大)v2.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/LTJ012303106-0030连接法兰(大)v2.dxf,ok,,LTJ012303106-0030连接法兰(大)v2.dwg,训练图纸
LTJ012306102-0084调节螺栓v1.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/LTJ012306102-0084调节螺栓v1.dxf,ok,,LTJ012306102-0084调节螺栓v1.dwg,训练图纸
LTJ012306102-0084调节螺栓v2.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/LTJ012306102-0084调节螺栓v2.dxf,ok,,LTJ012306102-0084调节螺栓v2.dwg,训练图纸
比较_LTJ012306102-0084调节螺栓v1 vs LTJ012306102-0084调节螺栓v2.dwg,/Users/huazhou/Downloads/训练图纸/训练图纸_dxf_oda_20260123/比较_LTJ012306102-0084调节螺栓v1 vs LTJ012306102-0084调节螺栓v2.dxf,ok,,比较_LTJ012306102-0084调节螺栓v1 vs LTJ012306102-0084调节螺栓v2.dwg,训练图纸
