file,status,part_type,confidence,confidence_source,rule_version,graph2d_label,graph2d_confidence,graph2d_temperature,graph2d_temperature_source,graph2d_is_drawing_type,graph2d_ensemble_enabled,graph2d_ensemble_size,graph2d_voting,filename_label,filename_confidence,filename_match_type,filename_extracted_name,hybrid_label,hybrid_confidence,hybrid_source,hybrid_path,titleblock_label,titleblock_confidence,titleblock_status,titleblock_part_name,titleblock_drawing_number,titleblock_material,titleblock_raw_texts_count,titleblock_region_entities_count,fusion_label,fusion_confidence,soft_override_eligible,soft_override_label,soft_override_confidence,soft_override_threshold,soft_override_reason
J1424042-00出料正压隔离器v1.dxf,ok,挡板,0.900,fusion,L2-Fusion-v1,,,,,,,,,出料正压隔离器,0.95,exact,出料正压隔离器,出料正压隔离器,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,出料正压隔离器,0.85,matched,出料正压隔离器,J1424042-00,组合件,26,26,,,,,,,
J2925001-00再沸器v2.dxf,ok,再沸器,0.950,hybrid,HybridClassifier-v1,,,,,,,,,再沸器,0.95,exact,再沸器,再沸器,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,再沸器,0.85,matched,再沸器,J2925001-00,S30408,184,184,,,,,,,
J0525002-04-02过滤托架v1.dxf,ok,过滤托架,0.950,hybrid,HybridClassifier-v1,,,,,,,,,过滤托架,0.95,exact,过滤托架,过滤托架,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,过滤托架,0.85,matched,过滤托架,J0525002-04-02,组焊件,50,50,,,,,,,
J2825002-09下轴承支架组件v1.dxf,ok,轴承,0.900,fusion,L2-Fusion-v1,,,,,,,,,下轴承支架组件,0.95,exact,下轴承支架组件,下轴承支架组件,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,下轴承支架组件,0.85,matched,下轴承支架组件,J2825002-09,组合件,70,70,,,,,,,
J2925001-01-01人孔法兰v2.dxf,ok,人孔法兰,0.950,hybrid,HybridClassifier-v1,,,,,,,,,人孔法兰,0.95,exact,人孔法兰,人孔法兰,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,人孔法兰,0.85,matched,人孔法兰,J2925001-01-01,S30408Ⅱ,8,8,,,,,,,
J0224071-11捕集器组件v2.dxf,ok,捕集器组件,0.950,hybrid,HybridClassifier-v1,,,,,,,,,捕集器组件,0.95,exact,捕集器组件,捕集器组件,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,捕集器组件,0.85,matched,捕集器组件,J0224071-11,组合件,72,72,,,,,,,
BTJ14240301522-00防爆视灯组件v1.dxf,ok,防爆视灯组件,0.950,hybrid,HybridClassifier-v1,,,,,,,,,防爆视灯组件,0.95,exact,防爆视灯组件,防爆视灯组件,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,防爆视灯组件,0.85,matched,防爆视灯组件,BTJ14240301522-00,组合件,36,36,,,,,,,
J0225001-09-04旋转组件v1.dxf,ok,旋转组件,1.000,fusion,L2-Fusion-v1,,,,,,,,,旋转组件,0.95,exact,旋转组件,旋转组件,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,旋转组件,0.85,matched,旋转组件,J0225001-09-04,组合件,82,82,,,,,,,
BTJ01231201522-00拖车DN1500v2.dxf,ok,拖车,0.950,hybrid,HybridClassifier-v1,,,,,,,,,拖车,0.95,exact,拖车,拖车,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,拖车,0.6,partial_match,拖车DN1500,BTJ01231201522-00,组合件,43,43,,,,,,,
J0225009-04-03阀体v2.dxf,ok,阀体,0.950,hybrid,HybridClassifier-v1,,,,,,,,,阀体,0.95,exact,阀体,阀体,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,阀体,0.85,matched,阀体,J0225009-04-03,组焊件,60,60,,,,,,,
J0224036-12真空组件v1.dxf,ok,真空组件,0.950,hybrid,HybridClassifier-v1,,,,,,,,,真空组件,0.95,exact,真空组件,真空组件,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,真空组件,0.85,matched,真空组件,J0224036-12,组合件,34,34,,,,,,,
BTJ01230901522-00汽水分离器v2.dxf,ok,支腿,0.900,fusion,L2-Fusion-v1,,,,,,,,,汽水分离器,0.95,exact,汽水分离器,汽水分离器,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,汽水分离器,0.85,matched,汽水分离器,BTJ01230901522-00,S30408,31,31,,,,,,,
J0724006-01下锥体组件v1.dxf,ok,下锥体组件,0.950,hybrid,HybridClassifier-v1,,,,,,,,,下锥体组件,0.95,exact,下锥体组件,下锥体组件,0.95,filename,filename_extracted;titleblock_predicted;filename_high_conf_adopted,下锥体组件,0.85,matched,下锥体组件,J0724006-01,组合件,66,66,,,,,,,
